sample,rmse,initial guess,final install positions,time elapsed
27,5.3,"[array([ 10,   3, -15,  17]), array([730, 600, 740, 680]), array([0.15, 0.25, 0.25, 0.25])]","[array([18.,  0.,  0.,  3.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",11.68
28,14.81,"[array([ 0,  3, 14,  7]), array([370, 800, 370, 250]), array([0.15, 0.15, 0.15, 0.25])]","[array([11.,  0.,  7.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",5.38
29,12.57,"[array([-12,  -4,  -9,  -4]), array([240, 270, 270, 260]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([340., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.71
30,52.82,"[array([ -2,  17, -19, -18]), array([340, 770, 570, 370]), array([0.25, 0.15, 0.25, 0.25])]","[array([19., 10.,  0.,  0.]), array([510., 550., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",13.86
31,28.42,"[array([ 16, -15, -11,  14]), array([790, 720, 200, 560]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([480., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.62
32,90.69,"[array([ -3,  12,  -5, -15]), array([340, 660, 750, 780]), array([0.25, 0.25, 0.15, 0.15])]","[array([14., 18.,  0.,  0.]), array([540., 750., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.05
33,55.7,"[array([  6, -18,  -3, -19]), array([320, 280, 750, 200]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([720., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.31
34,25.16,"[array([-12,  -2, -13, -10]), array([760, 770, 280, 750]), array([0.25, 0.15, 0.15, 0.25])]","[array([14.,  6.,  0.,  0.]), array([670., 250., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.27
35,36.19,"[array([  6, -12, -16,   1]), array([580, 540, 270, 750]), array([0.15, 0.25, 0.15, 0.15])]","[array([16.,  0.,  0.,  0.]), array([710., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.74
36,6.09,"[array([-11, -14,   0,  10]), array([240, 690, 290, 690]), array([0.15, 0.25, 0.25, 0.15])]","[array([12.,  0.,  0.,  1.]), array([450., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.42
37,9.51,"[array([ -1,  18,  -1, -16]), array([270, 510, 660, 230]), array([0.15, 0.15, 0.25, 0.15])]","[array([12.,  2., 13.,  0.]), array([200., 310., 360., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.32
38,25.02,"[array([ -4, -18,  -4,   9]), array([660, 400, 410, 690]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([450., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.33
39,13.85,"[array([ 7,  0,  4, 14]), array([700, 600, 620, 550]), array([0.25, 0.25, 0.25, 0.25])]","[array([ 8.,  0.,  0., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.01
40,3.81,"[array([-10,  -5,   9,   1]), array([220, 610, 800, 390]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  1.,  2.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.74
41,34.1,"[array([  9,  -9, -11,  -4]), array([580, 500, 300, 520]), array([0.25, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([530., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.79
42,29.57,"[array([  2,   4,  -8, -15]), array([540, 470, 310, 460]), array([0.15, 0.15, 0.15, 0.25])]","[array([16.,  2.,  5.,  0.]), array([610., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.01
43,13.85,"[array([-4,  5, 11,  1]), array([220, 270, 480, 350]), array([0.25, 0.15, 0.25, 0.15])]","[array([ 8.,  0., 11.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.65
44,4.83,"[array([  3, -15,   0,  13]), array([270, 540, 200, 640]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([270., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.69
45,29.56,"[array([  1, -19,  -2,  17]), array([680, 590, 370, 410]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([490., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",6.15
46,92.83,"[array([  8,   2, -18,  -8]), array([240, 370, 540, 490]), array([0.25, 0.15, 0.15, 0.15])]","[array([18., 14.,  0.,  0.]), array([800., 250., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",7.61
47,16.62,"[array([ 7, -6, -3,  6]), array([660, 600, 620, 330]), array([0.15, 0.15, 0.25, 0.15])]","[array([7., 1., 6., 8.]), array([240., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",11.2
48,43.19,"[array([  1, -15,   9,   1]), array([450, 660, 340, 590]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([610., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",13.15
49,7.02,"[array([-4, 13, 12, -3]), array([470, 310, 210, 210]), array([0.25, 0.15, 0.25, 0.15])]","[array([ 0., 10.,  0., 14.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",7.71
50,3.84,"[array([-6,  5,  4,  0]), array([220, 590, 770, 580]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  2.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",18.92
51,53.42,"[array([-16,  -8, -16,  -1]), array([470, 480, 450, 690]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([700., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",21.21
