Wall time,Step,Value
1618559852.7213979,2500,-0.3692293167114258
1618559877.620109,5000,-0.3096311390399933
1618559902.72738,7500,-0.3526332378387451
1618559927.944808,10000,-0.3310951888561249
1618559952.3378444,12500,-0.46115484833717346
1618559976.5878792,15000,-0.009799350053071976
1618560001.2530742,17500,0.32351452112197876
1618560026.4244602,20000,0.41991785168647766
1618560051.8781638,22500,0.9730997085571289
1618560077.4374988,25000,1.54385507106781
1618560102.96243,27500,2.208892583847046
1618560129.0647597,30000,2.3600707054138184
1618560154.7724974,32500,3.3305959701538086
