Wall time,Step,Value
1618569809.8852262,2500,15.600000381469727
1618569827.7791295,5000,17.969999313354492
1618569845.5616298,7500,17.850000381469727
1618569863.4004653,10000,17.950000762939453
1618569881.2585154,12500,15.989999771118164
1618569899.0663528,15000,19.309999465942383
1618569917.2718186,17500,18.90999984741211
1618569936.5133715,20000,31.489999771118164
1618569955.3381174,22500,41.83000183105469
1618569973.6946375,25000,52.650001525878906
1618569992.7220066,27500,67.26000213623047
1618570011.3753142,30000,84.4800033569336
1618570030.141096,32500,98.81999969482422
1618570048.643485,35000,111.1500015258789
1618570067.0678198,37500,135.88999938964844
1618570085.5293982,40000,148.72999572753906
1618570104.0090978,42500,145.0800018310547
1618570122.4611752,45000,167.02000427246094
1618570140.96552,47500,195.0500030517578
1618570159.621421,50000,204.16000366210938
1618570178.092777,52500,229.02000427246094
1618570196.619722,55000,238.49000549316406
1618570215.0724416,57500,255.52000427246094
1618570235.4364429,60000,254.24000549316406
1618570254.628148,62500,257.67999267578125
1618570273.6463003,65000,259.9700012207031
1618570292.3163607,67500,292.7799987792969
1618570311.9408014,70000,306.3999938964844
1618570332.0094573,72500,306.3800048828125
1618570350.6143775,75000,306.3800048828125
1618570369.1100924,77500,364.1600036621094
1618570387.9898744,80000,339.510009765625
1618570407.7374952,82500,303.82000732421875
1618570426.722328,85000,298.6600036621094
1618570445.265746,87500,301.1700134277344
1618570463.7318945,90000,298.2099914550781
1618570482.3385267,92500,303.2900085449219
1618570501.1043828,95000,305.8599853515625
1618570519.7483976,97500,297.8599853515625
1618570538.3889,100000,322.510009765625
