Wall time,Step,Value
1618557380.2901542,2920,-0.4204593300819397
1618557380.5692859,2949,-0.41272351145744324
1618557380.9645627,2994,-0.4048016369342804
1618557381.547596,3066,-0.3853849470615387
1618557382.665865,3186,-0.36354580521583557
1618557382.9825182,3228,-0.3835380971431732
1618557383.2249324,3256,-0.3896728456020355
1618557383.7845454,3323,-0.36152133345603943
1618557384.2280798,3373,-0.3614042103290558
1618557384.818319,3451,-0.33330366015434265
1618557385.4137006,3522,-0.3110317289829254
1618557386.307669,3622,-0.2969246208667755
1618557386.3958733,3637,-0.30887749791145325
1618557387.571362,3769,-0.2619195580482483
1618557387.7932942,3795,-0.2983153164386749
1618557388.1351464,3844,-0.34582555294036865
1618557389.2030942,3969,-0.31067797541618347
1618557389.500288,3999,-0.3068387508392334
1618557389.7868013,4034,-0.30200839042663574
1618557390.2388375,4088,-0.33494728803634644
1618557390.814688,4148,-0.3293732702732086
1618557391.5352142,4242,-0.31482917070388794
1618557391.682145,4265,-0.33942335844039917
1618557392.5104692,4360,-0.3362289071083069
1618557393.0029194,4415,-0.402283638715744
1618557393.3865016,4470,-0.38134944438934326
1618557393.5765312,4499,-0.38807982206344604
1618557394.0429933,4554,-0.39399588108062744
1618557394.270123,4588,-0.4169889986515045
1618557395.1995254,4695,-0.43485620617866516
1618557395.675925,4749,-0.4227963387966156
1618557396.0829282,4791,-0.4192482829093933
1618557396.1532295,4804,-0.45130056142807007
1618557396.5630991,4854,-0.4322369694709778
1618557396.8751574,4898,-0.4690403640270233
1618557397.160461,4933,-0.4799065589904785
1618557397.8214982,5022,-0.4684201180934906
1618557398.063788,5050,-0.4719031751155853
1618557398.6880143,5121,-0.5187715888023376
1618557398.991504,5156,-0.5008396506309509
1618557399.6395888,5240,-0.4504966735839844
1618557400.1883128,5310,-0.4865896999835968
1618557400.8742077,5391,-0.44563180208206177
1618557401.855256,5500,-0.41035231947898865
1618557402.374062,5564,-0.36616718769073486
1618557403.6752837,5708,-0.35018491744995117
1618557403.942175,5746,-0.36782583594322205
1618557404.3615482,5791,-0.3566914200782776
1618557405.3752406,5893,-0.3518608808517456
1618557406.118809,5978,-0.34044432640075684
1618557406.3178134,6001,-0.35908883810043335
1618557406.5121005,6026,-0.36804908514022827
1618557406.8069687,6059,-0.3626701831817627
1618557407.0380445,6086,-0.3530874252319336
1618557407.10337,6095,-0.3683678209781647
1618557407.8658588,6171,-0.3455895185470581
1618557408.4504077,6252,-0.3215278685092926
1618557408.7165203,6291,-0.3120005428791046
1618557408.9603608,6325,-0.33997777104377747
1618557409.6326418,6416,-0.30663686990737915
1618557410.3503373,6510,-0.30196404457092285
1618557410.6586432,6554,-0.3299030065536499
1618557411.413494,6650,-0.3024156391620636
1618557411.9027889,6703,-0.28478866815567017
1618557412.4507692,6769,-0.2950366139411926
1618557412.8546762,6829,-0.3258374333381653
1618557413.260293,6887,-0.3315504193305969
1618557413.7952282,6962,-0.3525315225124359
1618557414.6651733,7081,-0.3305712938308716
1618557415.536904,7202,-0.3378588557243347
1618557415.574392,7211,-0.3859064280986786
1618557415.7563999,7239,-0.39110422134399414
1618557416.1514142,7298,-0.38459134101867676
1618557416.443253,7342,-0.41779622435569763
1618557416.9793332,7418,-0.4145662486553192
1618557417.1524637,7444,-0.4147862195968628
1618557417.7100933,7521,-0.39710167050361633
1618557418.0791907,7572,-0.3881053328514099
1618557418.5072875,7634,-0.3885960280895233
1618557418.7024581,7663,-0.3866657614707947
1618557419.370971,7755,-0.3883651793003082
1618557420.0758007,7854,-0.3960580825805664
1618557420.7339945,7941,-0.3833872973918915
1618557420.875198,7964,-0.38073915243148804
1618557421.1219878,8001,-0.4154303967952728
1618557421.3991258,8042,-0.4356619417667389
1618557421.5645182,8067,-0.45229488611221313
1618557422.2952688,8167,-0.4309088885784149
1618557423.0194166,8269,-0.4208213686943054
1618557423.4892533,8335,-0.417697548866272
1618557423.5693803,8350,-0.4441179931163788
1618557423.9181142,8400,-0.4384678602218628
1618557424.2039158,8441,-0.45881086587905884
1618557424.3142114,8459,-0.5239793658256531
1618557425.4387941,8610,-0.5365987420082092
1618557425.9633586,8683,-0.5245528221130371
1618557426.304746,8733,-0.5101562738418579
1618557426.6926177,8788,-0.504765510559082
1618557426.8838544,8817,-0.513398289680481
