Wall time,Step,Value
1618559852.7215137,2500,0.33239078521728516
1618559877.6202266,5000,-0.19687438011169434
1618559902.7275121,7500,0.08028539270162582
1618559927.9449263,10000,-0.8209593296051025
1618559952.3379653,12500,-0.3545578718185425
1618559976.5879967,15000,-0.3694705069065094
1618560001.2531927,17500,0.7018090486526489
1618560026.424581,20000,0.1469021439552307
1618560051.8782809,22500,0.04005087912082672
1618560077.4376264,25000,0.08242429792881012
1618560102.9625776,27500,0.09610357135534286
1618560129.064904,30000,-0.06463742256164551
1618560154.7726252,32500,-0.0262205358594656
