Wall time,Step,Value
1618559852.7215345,2500,0.06239060312509537
1618559877.6202471,5000,0.10291788727045059
1618559902.7275338,7500,0.05597390979528427
1618559927.9449475,10000,0.3471543490886688
1618559952.3379862,12500,0.034351881593465805
1618559976.5880177,15000,0.2679746448993683
1618560001.2532134,17500,0.07761906087398529
1618560026.4246023,20000,0.004672333598136902
1618560051.8783019,22500,0.0033610539976507425
1618560077.4376483,25000,0.00797729566693306
1618560102.9626017,27500,0.0062858532182872295
1618560129.0649264,30000,0.006354836281388998
1618560154.7726474,32500,1.7078279256820679
