Wall time,Step,Value
1618559852.7214494,2500,-3.1753695011138916
1618559877.6201622,5000,-3.1721084117889404
1618559902.7274384,7500,-3.1654155254364014
1618559927.9448605,10000,-3.145498037338257
1618559952.3378978,12500,-3.1267778873443604
1618559976.5879316,15000,-3.035429000854492
1618560001.2531269,17500,-2.8494579792022705
1618560026.4245148,20000,-2.057361364364624
1618560051.8782153,22500,-1.8743828535079956
1618560077.437556,25000,-1.3363968133926392
1618560102.9624858,27500,-1.288421869277954
1618560129.064834,30000,-1.1963348388671875
1618560154.7725534,32500,-1.0013917684555054
