sample,rmse,initial guess,final install positions,time elapsed
77,3.8,"[-17, -6, 8, -12]","[7, 0, 0, 0]",7.778237104415893
78,4.38,"[-15, -7, 12, -8]","[6, 1, 1, 2]",7.761901378631592
79,1.94,"[3, -16, 15, 16]","[2, 0, 0, 13]",7.7254884243011475
80,3.8,"[-6, -12, 4, 9]","[7, 0, 0, 0]",7.961019039154053
81,3.8,"[11, -10, -13, -14]","[7, 0, 0, 0]",7.710302114486694
82,3.8,"[18, -15, 5, 9]","[7, 0, 0, 0]",7.771000862121582
83,4.4,"[-8, 9, 0, -6]","[3, 11, 0, 0]",7.901288986206055
84,1.14,"[-8, -12, 11, 18]","[0, 0, 0, 16]",7.733181715011597
85,3.8,"[-4, -14, -13, 0]","[7, 0, 0, 0]",7.725186347961426
86,5.59,"[10, 6, 4, -3]","[5, 0, 7, 1]",7.714409351348877
87,2.92,"[-2, 12, -15, 4]","[1, 14, 0, 0]",7.695433378219604
88,4.38,"[5, 8, 3, -17]","[6, 1, 1, 2]",7.741114854812622
89,3.8,"[15, -11, -8, -5]","[7, 0, 0, 0]",7.788360357284546
90,1.6,"[0, 7, 18, -13]","[0, 0, 16, 0]",7.829458475112915
91,3.8,"[-12, 4, -8, -19]","[7, 0, 0, 0]",7.733900308609009
92,3.8,"[8, -15, -4, -19]","[7, 0, 0, 0]",7.754782438278198
93,3.59,"[7, 16, 9, 7]","[0, 1, 13, 5]",7.768814563751221
94,4.4,"[5, 10, -10, 5]","[3, 11, 0, 0]",7.708200454711914
95,1.14,"[18, 14, 9, 16]","[0, 0, 0, 16]",7.795367479324341
96,4.38,"[18, 8, -19, 5]","[6, 1, 1, 2]",7.72563099861145
97,3.8,"[-12, 5, -15, -15]","[7, 0, 0, 0]",7.64890193939209
98,3.8,"[-11, 7, -1, -17]","[7, 0, 0, 0]",7.684041261672974
99,3.8,"[-2, -16, -12, 17]","[7, 0, 0, 0]",7.723188400268555
100,2.92,"[-6, 12, -2, -8]","[1, 14, 0, 0]",7.767686367034912
