s_num[int],s_const[N/m],s_len[m],e_load,tri_num,s_pos,rmse
2,171.24662304919218,0.5628810692863392,4.735874841727642,6,"[0.056792980411815464, 0.31772417896585636]",0.1442282379345856
2,166.19889466455015,0.6656134935076021,7.717137025298494,5,"[0.39496134499050883, 0.39412276181408656]",6.5559965731110745
2,100.89948505319043,0.6927878891943429,4.451518010453292,6,"[0.3993029599566785, 0.3715641695848755]",4.829902466126759
2,144.43522543588406,0.5518063043850345,8.277624773755948,6,"[0.399586362929625, 0.2758882146967411]",4.29132389324795
2,100.7478373785707,0.6921333269409895,3.2388039119448653,6,"[0.3963687618307522, 0.28574995066688946]",4.0860597229957945
2,97.32079965386758,0.7720176199262142,2.4231377960579445,5,"[0.3909811900471083, 0.3967051085237706]",4.440502484925548
2,198.88658645996185,0.4413883984530512,9.34873695729072,5,"[0.14526143623847065, 0.3721087634559369]",0.3074304221981231
2,185.7228330207168,0.5058090336481994,0.23998202558025095,2,"[0.06197539004296082, 0.2701655090190431]",0.04123814329616357
2,186.14797348443227,0.474953400408049,6.4224797783126935,4,"[0.1470264134801984, 0.3869662102887882]",0.3022305404274364
2,225.25695321180993,0.31627160182292086,6.343207177925578,4,"[0.266373962683212, 0.1078327441974285]",0.1671340425284873
2,210.40769354512722,0.76510270484375,7.196251865191999,5,"[0.373272198066535, 0.3997686049058182]",9.300720897381757
2,179.77427524708025,0.5146087073854956,9.691689445710093,6,"[0.39480681268442497, 0.15511142490561958]",0.7575036843375232
2,215.4065430999516,0.6270635058193659,9.50420408958877,6,"[0.18192750788112133, 0.39949582829600017]",4.25822174292782
2,135.70230595152444,0.5247177113980258,0.21682904777873824,3,"[-0.02407045858798823, 0.2928356322804516]",0.03355535628788086
2,138.74232358158832,0.30016207976761805,2.5633834778071183,4,"[0.2347689102969136, 0.09170844877017881]",0.2601499691632738
2,160.89593378866567,0.48025655183581306,7.623214195787048,6,"[0.10459404107728765, 0.36302341131203564]",0.6081521762463377
2,214.76661361846766,0.45075200068034965,1.1414954204949823,2,"[0.27597204970221323, 0.09706055278987319]",0.1825407555673775
2,169.27955267367133,0.34131622339067624,2.36308177356607,5,"[0.18165620507943425, 0.05568848332923498]",0.11799275696382772
2,111.4567882756059,0.32282507923544945,6.79270156074531,6,"[[0.16109990363728854, 0.3474090467714589]",0.0770529896601969
2,196.97323567657835,0.6130013110218749,5.555003854252709,6,"0.335910218976184, 0.05092493038200219]",0.21243958848161415
2,183.76301478888752,0.302107293007668,4.328715679396754,3,"[0.3087821488786976, 0.12617787471977138]",0.3323016424785342
2,207.2904449004294,0.48715566721691633,8.89266155874091,5,"[0.10712791353024131, 0.38091245072405744]",0.75937050974018
2,171.88553544880904,0.7663383632755818,9.295467259986843,6,"[0.39846274117956726, 0.3998375354152316]",22.383141169397394
2,132.53943460932297,0.3407884880096091,9.685190534795787,6,"[0.3904773989371909, 0.17994700061972624]",0.507058339645106
2,235.1179835301426,0.3091886416995839,9.950372028289072,5,"[0.2783890249944102, 0.13020955392912437]",0.2287416148228473
2,236.74808101124975,0.48449133639324554,9.202234255455808,5,"[0.10517525954517493, 0.3536541449415628]",0.4242563417450792
2,171.8307610580311,0.7831320589353752,0.46277371692567515,3,"[0.04733733720981148, 0.36427418667192935]",0.5029737105070353
2,175.70585157370738,0.6490636575814865,1.3197949103402506,3,"[0.350996000454348, 0.014181170476344651]",0.14002550750365078
2,82.94349551576445,0.4381758942022575,4.314631016388879,6,"[0.16372326076169663, 0.39494216696631523]",0.14761717130168311
2,133.71485307539265,0.40392822697717395,6.068415662804646,6,"[0.32032074558281187, 0.13418458354102158]",0.3522317701854091
2,150.49805643773374,0.5648663551887538,3.101592490242747,5,"[0.32202645943573116, 0.07200478854522663]",0.09633541471015541
2,82.5032862688115,0.3124904726297479,5.997428518906494,6,"[0.20509278695844968, 0.3961356064030839]",0.21537393776630637
2,88.14677641136286,0.40211079394251525,0.9564572665254911,6,"[0.2193972210004187, 0.046385754256836276]",0.13186459464426478
2,169.1558711903781,0.3632798197206851,7.852313252975147,5,"[0.33281060257449213, 0.15792514521599443]",0.48281886138014946
2,182.5305118906161,0.7645672117544309,7.954222148422945,6,"[0.3909616375407299, 0.3944838405796004]",9.92182029910917
2,203.06013269201944,0.7103879148278449,0.8841177572004555,4,"[-0.08333177614315057, 0.3691178798165001]",0.34392982641119213
2,75.12144524739081,0.7433261021209642,5.430052614316723,6,"[0.3992782401799624, 0.39998810229908954]",35.233189516511146
2,99.80015600902775,0.3922350822529475,3.348610613779439,6,"[0.2882508383456509, 0.11615741782705691]",0.3128796065044169
2,152.28892075937262,0.5800184766886327,8.184571437751467,6,"[0.3964444084287557, 0.27300149412032915]",4.841842998158684
2,178.9546671580353,0.6432089472877697,1.5369221650859732,3,"[0.38879042196750513, -0.030518403133086625]",0.21804564415075256
2,120.54365754652572,0.7448273713391137,0.2996573115986556,4,"[-0.06504846847760393, 0.3997574599995922]",0.30333278439572803
2,169.17830077663973,0.4818533235366818,1.8970919279367493,4,"[0.06312530895808488, 0.2555607484785617]",0.08124070997373974
2,116.83053474223769,0.6578966783967046,9.452476619507106,6,"[0.39927236635222085, 0.3903199439635471]",37.46224946247497
2,204.70394182693437,0.7920059253231599,2.96587391441556,5,"[0.3712661576863717, 0.02380929246264013]",0.8997937032102187
2,100.40175340122886,0.4106629812019852,5.977673802433588,6,"[0.3940042303658149, 0.1699041859366065]",0.2195225455240206
2,122.49842888333505,0.34152666061355175,5.614976863763392,4,"[0.39891172911893746, 0.19925733923721511]",0.3993789591241597
2,111.56774899017353,0.3985542180430831,8.992950585496033,6,"[0.39098172958819977, 0.31872489219203093]",2.6976692268036357
2,174.09327282356236,0.4010054881814841,6.700443789674997,5,"[0.3193271142611299, 0.13017641260984103]",0.24506477220984374
2,190.59022023190292,0.7071601025535019,3.69383776628689,5,"[0.37172077261856196, 0.0055252898477913814]",0.425545911010948
2,94.35859671277723,0.521715449036199,5.917751752188634,6,"[0.39996920987199436, 0.3286301299333302]",3.094809613869309
2,126.79643406741832,0.6656872756212369,9.73576582610461,6,"[0.399220159648219, 0.3965448120583095]",32.81827209970255
2,237.47162374135993,0.7220687666377698,5.194524634344612,5,"[0.38736275353420746, -0.009441611608445755]",0.7433013676399818
2,142.47194738867032,0.7779913648477259,8.862591119544883,6,"[0.39367730660655764, 0.3918086316156929]",42.503986695742775
2,146.1825583383156,0.6141825362086879,2.0772097266299094,5,"[0.36653724297961177, -0.050875885341216065]",0.11171310421750062
2,134.1984675883338,0.5354464969800671,6.273182638373173,6,"[0.11579828677565218, 0.3950940205543094]",0.4386458610580238
2,196.98717056132602,0.35132555644321817,9.257896330635337,4,"[0.3869612370433668, 0.1752765721458449]",0.14454820920522207
2,83.6721626371934,0.4620542745470429,2.034966455894689,6,"[0.09518938933112164, 0.30318347640273957]",0.03269165545805312
2,111.0664425686219,0.34747420528912637,7.832449477132151,6,"[0.382132328959242, 0.2006561867666029]",1.0024958521892344
2,247.59504989084954,0.6203861305733381,0.068328740107505,1,"[0.09472120851596111, 0.3816399751248738]",0.0603017734203802
2,159.68841423552254,0.5382615435533036,7.304385425729407,6,"[0.13256433358221498, 0.38283067989068964]",0.5512439315828029
2,120.94601774162572,0.5493361963694514,2.6719795942017246,5,"[0.3392842253612586, 0.08089279417477468]",0.10130691702918096
2,204.8862400968645,0.4434663979454099,6.066702245012317,6,"[0.08047317337608373, 0.26019956094088004]",0.22874360129649418
2,229.28512609652321,0.39654110473287735,6.828550672189716,3,"[0.3843120441117519, 0.13834611098503302]",0.6788576167417175
2,82.0655590170237,0.6197688857124621,6.3745820183026325,6,"[0.396483528812112, 0.3985652400366797]",23.065055942776553
2,83.26560613497458,0.7673553204714636,9.447771204519649,6,"[0.39748110648488033, 0.39381328065453813]",83.39192893092238
2,105.14405168787596,0.6132439828436953,8.381553574830093,6,"[0.398286879521381, 0.3958986107950667]",24.654060044309766
2,78.09313299096124,0.39051608283793,2.5388326943216253,6,"[0.0957899397629089, 0.3128419834718724]",0.30807243820679614
2,101.35666729532805,0.6135200229038251,6.452009703872241,6,"[0.3952621734736639, 0.3969518093239679]",6.5476667917474485
2,239.77349191044672,0.6287306834075386,5.920332223619937,5,"[0.35609746147664645, 0.01706923825304346]",0.2894129007544279
2,143.30845569275664,0.44495097145637896,3.8782730592740378,4,"[0.13202310261341865, 0.3466778538148425]",0.22450202849348894
2,141.65586105621043,0.7926810054968,4.329738266730666,5,"[0.3971773775598132, 0.39428387300131285]",7.584603292496723
2,117.40895412542739,0.6008950191067627,8.470367780612957,6,"[0.39963608434829134, 0.3959505454125818]",11.518876825116918
2,133.4547170939225,0.5032709849344797,0.9890582085375577,2,"[0.14370962176544766, 0.39135967148368456]",0.08415388549411422
2,152.0830809676881,0.4467211540164013,1.987913072367975,3,"[0.0999105430481736, 0.31474279534097815]",0.3231151918479354
2,228.61472340424643,0.7803727630262499,8.79342817565547,6,"[0.39415751339607297, 0.35979674611680135]",12.27065332892165
2,109.19974943016284,0.7753303643025801,2.1670640814385034,6,"[0.03417420295808621, 0.3989294530236669]",2.2825279995632806
2,136.4245693001087,0.5870701742966028,8.771832632329144,6,"[0.39743204943775756, 0.3672592950583363]",5.483619771636203
2,195.48631350098117,0.7541544455385761,9.37192479681643,6,"[0.3962220393436776, 0.39951477393610146]",10.591880311643399
2,145.3508452711194,0.429619488845939,5.440570778413595,4,"[0.3953151367117512, 0.15921914159849948]",0.04240147126996179
2,83.43987866719755,0.5368926010480102,8.944605587205505,6,"[0.39637780389660804, 0.3837014272489282]",42.287873247837766
2,195.0484782761963,0.4053517649321468,3.6809655074407344,4,"[0.09160360920832245, 0.25818418497205775]",0.2454776303662284
2,76.34140208461525,0.5101148513761948,2.5677384278757343,6,"[0.11113430321093554, 0.3725919021710181]",0.2967003719008231
2,226.28203717921107,0.33555010021203824,3.857792011004989,2,"[0.15361179307069273, 0.3504166062086391]",0.11171359722827887
2,234.1420783484259,0.4534024053394702,4.808366991289658,5,"[-0.0026506529946122015, 0.270980908862951]",0.47117480549377433
