s_num,s_c,s_l,e_l,tri_num,i_pos,rmse
2,220.0693097971478,0.3334470074621521,3.583708319747375,3,"[0.25582287614392507, 0.09446347453257448]",0.3070490920402075
2,190.32782416011378,0.33468927619689837,4.608237438140122,4,"[0.1114575430655863, 0.25737639459602835]",0.16061782912149677
2,265.6581872428849,0.23764585840600505,5.15342586204051,2,"[0.30721530960166255, 0.16569393532736976]",0.05344152028913533
2,496.4674556873092,0.3085289663849189,7.43759433683246,2,"[0.12314179661167102, 0.2634296351057911]",0.2725026587289422
2,285.1316023066953,0.21846818072608304,6.049257097839074,2,"[0.3106164076131033, 0.17351450368461174]",0.1673241324796575
2,169.7111539493214,0.2897153314534619,3.594838514033202,4,"[0.09523297507375528, 0.23114178724987322]",0.10392372456893445
2,338.5615737273073,0.3226687887596684,4.360846734954457,5,"[0.019103890338711405, 0.14928445664679446]",0.514481146936694
2,348.26583800832066,0.2586616360472068,4.989240428341039,2,"[0.1435953035874118, 0.24154506395047926]",0.523564358849905
2,475.7492964519654,0.17809846390974823,0.3572103369000046,2,"[0.05253190089518123, 0.0406466903742998]",0.15551889232617974
2,297.09740373275224,0.2059895465198536,4.403177418948444,6,"[0.09940478601123565, 0.03738827399889233]",0.24851953232203683
2,269.43436301550975,0.3540622758708573,3.9940951449597017,4,"[0.05797520641084225, 0.19846124530683495]",0.20659804837053822
2,328.2690997200441,0.24729684602771337,7.266209528430842,2,"[0.3256994680838816, 0.1729772379068919]",0.1938040810320808
2,436.6184518261007,0.29909125458360153,2.9462124503080824,1,"[0.13855672719024203, 0.2965427074204299]",0.1302077489387702
2,178.70273622946328,0.16348692126913877,4.884339758870722,2,"[0.25634109193586163, 0.3533316429588297]",0.2561979721228787
2,353.94012987772624,0.24712847239556984,7.707663489623149,3,"[0.11023803730179149, 0.23140879731748842]",0.21074528424738095
2,367.15433352310345,0.1513786896847856,6.645283544933168,3,"[0.16899333066695055, 0.08996901589092265]",0.42468294199634143
2,214.78292120477573,0.3589542148746916,4.383816163104366,2,"[0.3982569884633873, 0.18311589977352524]",0.1435934602034441
2,473.9550082064079,0.20092320998494254,9.531245404522112,2,"[0.14689216658062598, 0.26858242268476373]",0.16330639983281092
2,322.1638923716739,0.32681560626584333,2.4004799634864393,1,"[0.16037242723474454, 0.35741595287525685]",0.1286685931131684
2,258.9558992210773,0.17741301644801305,6.021560207074774,3,"[0.1171436473490084, 0.22748517167701476]",0.4967778001035173
2,319.0990940948629,0.33777762948605483,5.184460126707091,3,"[0.23587898992185463, 0.08884181201226804]",0.0817214065981625
2,252.54330297502207,0.30614697371146093,0.2020317038685182,3,"[0.004929040983572275, 0.11959914891060319]",0.18189745841879998
2,170.0947906247689,0.266223056266587,3.4857373171825845,5,"[0.07655303782027201, 0.18174900657426662]",0.3404491449934694
2,468.4461405230934,0.2218739207525806,9.564438998324373,2,"[0.1925099054093804, 0.2556647933070697]",1.266406770064645
2,324.68383479050516,0.2814711973525162,2.739413567539879,1,"[0.34513058044481326, 0.1870491461274163]",0.14566527195900714
2,448.17439848992586,0.1833784910595817,5.269208968598804,1,"[0.19760028783813854, 0.3295319026490309]",0.15248099358081113
2,319.1955260491873,0.35135464411157136,9.559937845756817,4,"[0.13355376325125146, 0.26794509626478724]",1.0474455272695347
2,276.55750627248176,0.3006403427386337,8.995033799840044,3,"[0.3375882024058091, 0.1641589693119908]",0.19925716927199155
2,347.59993137307225,0.18684881357417896,5.14216188296456,2,"[0.22292466577457204, 0.12469229546313376]",0.4258145516287663
2,166.57545433791668,0.3297761186104372,4.585788051747963,4,"[0.2867272057069381, 0.11137054364160581]",0.2080142251991958
2,265.26891828951665,0.19723179730184914,1.9579792655495554,1,"[0.18122279337675629, 0.3086467520268287]",0.01667289936925626
2,175.3210744951384,0.36620678994423606,4.2316511518529545,4,"[0.2817467941595274, 0.10289555477653067]",0.37165887025155986
2,354.22128121875016,0.31347236012323476,3.833957627460396,2,"[0.2339184869539943, 0.11201082052970512]",0.30903985509202764
2,256.7183517466999,0.16726298093756936,3.6541268637564395,1,"[0.30570153161887026, 0.3870711190300139]",0.29602433324086835
2,237.65170455556887,0.1529776914734064,2.854342460015926,2,"[0.20272238505663387, 0.12814825634791682]",0.10995806801754321
2,484.02838221548666,0.3144417869073074,7.4277302789546376,6,"[0.15716876625854614, -0.02128947560058575]",0.8747980018628408
2,459.44353095486343,0.39412478272752616,5.17071197665922,2,"[0.2759533630480636, 0.07155178343048779]",0.6987125737862446
2,304.018069352044,0.3247277703104716,5.3351135146565545,4,"[0.19422501206516563, 0.07450055766262809]",0.19552682756612605
2,372.4325987127205,0.3318832833040101,6.577344976833256,2,"[0.1447482354001297, 0.31667426705343826]",0.3762998118549463
2,444.5139488360997,0.22261432478476553,2.628536084432478,1,"[0.13566612623800534, 0.23549995503638332]",0.12856922147615954
2,159.88928621623182,0.29771650994361976,6.97784409625974,5,"[0.13165525985492177, 0.29728263902597574]",0.6423623601632641
2,456.9204886893061,0.3923894491302634,0.9337479333163945,1,"[0.06479859853321379, 0.23334177249814692]",0.07904610178959319
2,374.9812874455081,0.16574591071793815,9.913718064826448,5,"[0.14219358409456428, 0.0766434291977281]",0.4514663034861052
2,252.45523465108755,0.25414838846141896,7.432951591326543,3,"[0.30321755038844556, 0.14446440693427276]",0.2965822545939532
2,490.7195440030674,0.22801202722604647,8.629936383087491,3,"[0.1837160992737572, 0.08623516261360892]",0.20723536155500585
2,278.8659446125621,0.35389191935506076,5.34235913141914,2,"[0.16237461851749968, 0.36314391745854036]",0.027032569617021756
2,154.39064520652423,0.18717149144151873,3.6624169467016596,2,"[0.36980750168264354, 0.21770373599806436]",0.12996419979408683
2,493.88558814931633,0.3033303059116077,7.14514538941596,4,"[0.043514985536023065, 0.1583990557873921]",0.5563960445877365
