s_num,s_c,s_l,e_l,s_pos,rmse
4,"[453.5425546190364, 150.06218049129748, 391.38526116612366, 425.52589978962, nan, nan]","[0.2153998768139953, 0.341614359363049, 0.2861542097957936, 0.3123415518464874, nan, nan]",0.9428191011789488,"[0.07, -0.21, 0.4, 0.38, nan, nan]",1.5781543342758668
6,"[319.30568117693065, 224.8358324709195, 354.54667633912106, 479.03120723818785, 425.85546748236186, 314.62468559653047]","[0.2730465227395476, 0.375265697386701, 0.17477525406925074, 0.18620193137469732, 0.32465044114864827, 0.32772284820585584]",0.4902878177993475,"[-0.16, -0.03, 0.17, 0.33, 0.03, -0.1]",0.7820941737979936
2,"[477.34338463590905, 439.4648441965231, nan, nan, nan, nan]","[0.333442336742907, 0.24660769682108905, nan, nan, nan, nan]",0.1142916431159579,"[0.39, 0.21, nan, nan, nan, nan]",1.4589326926010069
5,"[314.7649082887215, 290.11297182705994, 183.17049846365666, 336.42937941213927, 262.9649336735855, nan]","[0.314997456432328, 0.3475782896018431, 0.39712563188734706, 0.15858460618587197, 0.273662375598109, nan]",2.091907684067359,"[0.31, 0.39, 0.16, 0.4, 0.36, nan]",1.898723984380752
5,"[210.53148343320083, 268.9595158699749, 356.99821893094844, 386.5826121000548, 473.1075987967504, nan]","[0.15952068034651448, 0.24386170604915625, 0.22572803654132448, 0.20656559904721425, 0.17322643179176586, nan]",1.653167811259172,"[0.34, 0.0, 0.01, 0.37, 0.21, nan]",1.0524914234643352
6,"[357.0307003763058, 316.6334411727222, 303.7116376476585, 402.3986209067973, 291.18271754514797, 371.6795710090703]","[0.368902714941597, 0.15404882555129512, 0.24670024504271526, 0.26378004212547457, 0.17049765782597423, 0.3796562642136372]",0.3533580337722986,"[0.01, 0.28, -0.09, -0.03, 0.33, 0.14]",0.5543274731695209
4,"[164.31746673141055, 167.04260468667724, 303.3429787885842, 305.04248284656865, nan, nan]","[0.20036703520751187, 0.3476769339443364, 0.29363086987367737, 0.2671758355791152, nan, nan]",0.2188970601562989,"[0.01, -0.23, 0.37, 0.4, nan, nan]",1.0082603169760878
6,"[197.97050937091194, 214.76270009906247, 283.7781913419865, 324.91449043655183, 174.3524352342248, 410.78388634729157]","[0.31221533534702994, 0.26669447596181195, 0.15445087173500852, 0.26085503743260463, 0.3525066241484345, 0.2936852543942749]",0.6420795366937859,"[0.03, -0.13, 0.34, -0.08, -0.02, 0.38]",0.9929610268612782
2,"[278.55360723322667, 395.63340557129317, nan, nan, nan, nan]","[0.16437593304366513, 0.2855104758838788, nan, nan, nan, nan]",0.1731300204996155,"[0.24, 0.38, nan, nan, nan, nan]",0.9010080655972728
4,"[369.9281769039127, 462.73683717603126, 297.6841767720955, 331.3198993862212, nan, nan]","[0.22061070820294487, 0.15112181550706952, 0.27704840020814425, 0.2580044069393476, nan, nan]",3.498906636318333,"[0.35000000000000003, 0.39, 0.34, 0.29, nan, nan]",1.8438535704507808
6,"[246.23999859596097, 332.0442369598108, 454.48034946064536, 381.13256222559255, 496.5114858120189, 154.14767944431878]","[0.2365962078867883, 0.19895949095790522, 0.24352374363794782, 0.3865482797457245, 0.23412595526959834, 0.32024261993188186]",2.224516111826167,"[0.35000000000000003, 0.39, -0.01, 0.16, 0.35000000000000003, 0.07]",1.4152043593586978
6,"[316.21870941664577, 189.62994911087043, 190.82295973678885, 287.1057324247356, 378.1896782373568, 366.8050316561274]","[0.1545514436591117, 0.3584568894866974, 0.29866814666963293, 0.19991554387708366, 0.28099789194612246, 0.15196444260953318]",3.075573021206849,"[0.39, -0.18, -0.13, 0.17, 0.39, 0.34]",1.467968923018724
6,"[402.42634739105915, 244.78592299635903, 486.1823343234339, 434.628893621514, 331.7382906546533, 419.9369508459679]","[0.3660379442125462, 0.2532944656829944, 0.20684046389078903, 0.21103863343380141, 0.2226331214876321, 0.39902463869682503]",3.1052483572526413,"[-0.16, -0.01, 0.38, 0.37, 0.33, -0.31]",1.5596792992730584
5,"[449.110844241254, 184.67356351814746, 239.85291844758981, 185.3905822820464, 195.1094579395516, nan]","[0.25700362266878823, 0.3898181505065752, 0.24974513751201638, 0.3074599090663717, 0.368285912814167, nan]",0.291533741410217,"[0.4, -0.08, 0.22, -0.04, -0.26, nan]",1.008679944095478
5,"[287.0228180637477, 468.9175346972085, 155.18256242530128, 355.7219357264305, 242.04904377294397, nan]","[0.28487406967155704, 0.3009726848301712, 0.34958725728518536, 0.23897619807972956, 0.35352070977761973, nan]",1.0800025363750745,"[0.0, 0.4, 0.07, 0.37, 0.05, nan]",1.411000574994662
5,"[494.3250237803956, 256.95290468081953, 330.81616696639844, 484.2146432654396, 265.17674514651327, nan]","[0.23598700713420256, 0.19083360673945843, 0.15877728873443844, 0.361197074222698, 0.16667453934645873, nan]",2.4972294446254297,"[0.34, 0.09, 0.38, 0.02, 0.3, nan]",1.3272767887634485
3,"[404.2091418460775, 153.3562157469009, 309.29772758988133, nan, nan, nan]","[0.21248702639143913, 0.3081983117172218, 0.30116076641455536, nan, nan, nan]",1.1363058262326442,"[0.4, 0.37, 0.33, nan, nan, nan]",1.3242874136910874
5,"[426.9637677362206, 239.96496105146326, 364.76492021886884, 446.80225922357215, 390.4213864841025, nan]","[0.1761108649115865, 0.2181668486017104, 0.27476037029615075, 0.332649024904587, 0.3923488264888435, nan]",0.0786043269118252,"[0.37, 0.02, 0.02, 0.02, 0.06, nan]",0.4518127020297651
