sample,rmse,initial guess,final install positions
30,11.57,"[-7, 13,  4,  0], [260, 220, 640, 740], [0.15, 0.15, 0.15, 0.15]]","[14.,  0.,  4.,  2.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
31,2.86,"[-13,  -1,  -4,   2], [220, 270, 430, 720], [0.15, 0.15, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [250., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
32,79.59,"[-19, -14,   8, -16], [720, 390, 260, 450], [0.25, 0.15, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [780., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
33,17.45,"[ 6,  6, 14, -2], [540, 310, 790, 790], [0.25, 0.25, 0.25, 0.25]]","[ 3.,  0., 10.,  0.], [200., 200., 240., 200.], [0.25, 0.25, 0.25, 0.25]]"
34,40.92,"[  5, -15,  -3,  -3], [220, 460, 650, 460], [0.15, 0.15, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [590., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
35,126.93,"[-19,   4, -19, -12], [470, 800, 770, 250], [0.25, 0.25, 0.15, 0.15]]","[18., 16.,  0.,  0.], [800., 590., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
36,3.18,"[-17,  10,  -8,   4], [310, 250, 350, 510], [0.15, 0.15, 0.15, 0.15]]","[ 2., 19.,  0.,  0.], [200., 250., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
37,6.61,"[ 6, 15, -2, -6], [260, 560, 430, 490], [0.25, 0.15, 0.15, 0.15]]","[12.,  0., 12.,  0.], [200., 250., 220., 200.], [0.25, 0.25, 0.25, 0.25]]"
38,48.88,"[ 14,  -6, -18,  -1], [560, 240, 420, 600], [0.25, 0.25, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [660., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
39,12.31,"[ 17, -19, -12,  10], [490, 320, 290, 680], [0.25, 0.15, 0.15, 0.15]]","[15.,  0.,  0.,  0.], [480., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
40,13.85,"[-4,  3,  1,  9], [310, 220, 230, 430], [0.25, 0.15, 0.25, 0.15]]","[11.,  0.,  0.,  8.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
41,82.54,"[-17,   1, -19,   5], [220, 450, 640, 710], [0.15, 0.15, 0.15, 0.15]]","[19.,  2.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
42,40.27,"[ -1,  -8,  12, -19], [250, 590, 220, 480], [0.15, 0.15, 0.25, 0.15]]","[10., 14.,  0.,  0.], [630., 420., 230., 200.], [0.15, 0.25, 0.25, 0.25]]"
43,10.9,"[ 14,   7,   0, -12], [610, 780, 630, 290], [0.25, 0.15, 0.15, 0.15]]","[ 9.,  6., 10.,  0.], [220., 310., 280., 200.], [0.25, 0.25, 0.25, 0.25]]"
44,38.64,"[-15,   2,  -1, -17], [410, 370, 800, 390], [0.15, 0.25, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [570., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
45,21.93,"[-18,   8,   9,  12], [690, 740, 510, 690], [0.15, 0.25, 0.25, 0.15]]","[0., 0., 0., 8.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
46,18.22,"[ 0, 14, -1, 14], [770, 370, 310, 730], [0.25, 0.25, 0.15, 0.25]]","[ 0.,  0.,  0., 10.], [200., 200., 200., 230.], [0.25, 0.25, 0.25, 0.25]]"
47,12.57,"[-14, -11,   9,   2], [770, 480, 360, 340], [0.25, 0.25, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [340., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
48,40.92,"[ -5,   2, -13,  -1], [730, 420, 630, 420], [0.25, 0.25, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [590., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
49,8.59,"[13,  4, -6, -5], [770, 440, 680, 370], [0.25, 0.25, 0.25, 0.25]]","[12.,  0.,  6.,  0.], [330., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
50,14.43,"[-7, 17, -1,  1], [330, 300, 780, 620], [0.15, 0.15, 0.25, 0.25]]","[7., 8., 0., 9.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
51,4.93,"[-5, -6, 18,  0], [550, 700, 230, 250], [0.25, 0.15, 0.25, 0.25]]","[11.,  0., 15.,  0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
52,9.29,"[-14,   9,  19, -15], [340, 750, 780, 360], [0.25, 0.15, 0.25, 0.25]]","[14.,  0., 12.,  0.], [200., 200., 360., 200.], [0.25, 0.25, 0.25, 0.25]]"
53,82.3,"[ 19, -16,  -8,  -4], [310, 620, 680, 540], [0.15, 0.25, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
54,10.87,"[ 12,  -5, -18,   8], [410, 610, 290, 240], [0.15, 0.25, 0.15, 0.15]]","[10., 11.,  0.,  0.], [430., 330., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
55,40.92,"[-18, -15,  -2, -14], [740, 270, 590, 240], [0.25, 0.25, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [590., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
56,8.6,"[16, -1,  0, -5], [750, 290, 520, 420], [0.15, 0.15, 0.25, 0.25]]","[12.,  0.,  9.,  0.], [270., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
57,6.42,"[-9, 12, -4, -8], [340, 210, 680, 230], [0.15, 0.15, 0.15, 0.15]]","[16.,  0.,  5.,  0.], [220., 210., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
58,6.72,"[  8,   5,  11, -10], [380, 460, 410, 210], [0.15, 0.15, 0.25, 0.15]]","[19.,  0., 11.,  0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
59,54.56,"[ -6,   7, -18,   1], [230, 260, 550, 310], [0.15, 0.25, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [710., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
60,17.94,"[13, 19, -9, 10], [760, 460, 640, 800], [0.25, 0.15, 0.25, 0.25]]","[0., 8., 0., 8.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
61,3.71,"[-17, -15,  16,   6], [240, 390, 400, 430], [0.15, 0.25, 0.15, 0.25]]","[19.,  0.,  0.,  3.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
62,129.59,"[ -8, -10, -18,  -9], [710, 740, 770, 530], [0.25, 0.25, 0.15, 0.15]]","[19., 16.,  0.,  0.], [800., 540., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
63,18.58,"[-17, -11,  17,  11], [540, 220, 400, 240], [0.15, 0.15, 0.25, 0.25]]","[6., 0., 9., 0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
64,82.3,"[-18, -17,   3, -19], [720, 490, 200, 260], [0.25, 0.25, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
65,53.66,"[ -3, -12, -18,   1], [700, 440, 460, 720], [0.25, 0.25, 0.25, 0.25]]","[12., 15.,  0.,  0.], [740., 310., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
66,9.64,"[ 7,  7, 11, -8], [370, 510, 570, 670], [0.15, 0.15, 0.15, 0.25]]","[ 4.,  1., 12.,  0.], [200., 200., 320., 200.], [0.25, 0.25, 0.25, 0.25]]"
