number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
4.46,"[array([ -5, -10, -16,  15]), array([450, 580, 310, 500]), array([0.25, 0.15, 0.25, 0.15])]","[array([14.,  0.,  0.,  1.]), array([340., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
12.24,"[array([-16,  -4,  11,   6]), array([480, 340, 320, 220]), array([0.15, 0.15, 0.25, 0.15])]","[array([12.,  0.,  8.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
9.56,"[array([ 6, 14, -2, -5]), array([250, 360, 710, 670]), array([0.15, 0.25, 0.15, 0.25])]","[array([15.,  0.,  5.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
11.57,"[array([-7, 13,  4,  0]), array([260, 220, 640, 740]), array([0.15, 0.15, 0.15, 0.15])]","[array([14.,  0.,  4.,  2.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.86,"[array([-13,  -1,  -4,   2]), array([220, 270, 430, 720]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([250., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
79.59,"[array([-19, -14,   8, -16]), array([720, 390, 260, 450]), array([0.25, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([780., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
17.45,"[array([ 6,  6, 14, -2]), array([540, 310, 790, 790]), array([0.25, 0.25, 0.25, 0.25])]","[array([ 3.,  0., 10.,  0.]), array([200., 200., 240., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
40.92,"[array([  5, -15,  -3,  -3]), array([220, 460, 650, 460]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([590., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
126.93,"[array([-19,   4, -19, -12]), array([470, 800, 770, 250]), array([0.25, 0.25, 0.15, 0.15])]","[array([18., 16.,  0.,  0.]), array([800., 590., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
3.18,"[array([-17,  10,  -8,   4]), array([310, 250, 350, 510]), array([0.15, 0.15, 0.15, 0.15])]","[array([ 2., 19.,  0.,  0.]), array([200., 250., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
6.61,"[array([ 6, 15, -2, -6]), array([260, 560, 430, 490]), array([0.25, 0.15, 0.15, 0.15])]","[array([12.,  0., 12.,  0.]), array([200., 250., 220., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
48.88,"[array([ 14,  -6, -18,  -1]), array([560, 240, 420, 600]), array([0.25, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([660., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
12.31,"[array([ 17, -19, -12,  10]), array([490, 320, 290, 680]), array([0.25, 0.15, 0.15, 0.15])]","[array([15.,  0.,  0.,  0.]), array([480., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
